id_spatial,community_board,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,boro,garden_name,address,size,latitude,longitude,avg_org_value,avg_rev_value,avg_tot_appropriated
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,El Sol Brillante Jr.,537 East 12th Street,0.059,40.728694,-73.980372,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Firemens Memorial Garden Inc.,358-364 E 8th Street,0.17,40.72447,-73.97791,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,First Street Garden,48 East 1st Street,0.061,40.72384,-73.989772,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Generation X Cultural Garden,270-272 East 4th Street,0.11,40.722906,-73.981662,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Hope Garden,193 East 2nd Street,0.046,40.722289,-73.984094,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Kenkeleba House Garden,212 E. 3rd Street,0.31,40.722502,-73.982582,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,La Plaza Cultural-Armando Perez,632-650 E. 9th Street,0.64,40.725815,-73.979248,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Liz Christy Garden,110 E Houston Street,1.09,40.723832,-73.991576,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Los Amigos,221 East 3rd Street,0.061,40.722453,-73.982423,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Lower East Side Ecology Center,213 E. 7th Street,0.15,40.724508,-73.979851,10921482.321637427,10924907.415204678,NA
